P,T,VL,VV,UL,UV,HL,HV,SL,SV
20,60.05864266,0.001017144,7.648151422,251.3793955,2455.984428,251.3997384,2608.947456,0.831952463,7.907235
20.5,60.59335779,0.001017429,7.472936159,253.6160595,2456.68234,253.6369168,2609.877531,0.838659603,7.898689113
21,61.11708528,0.001017711,7.305827598,255.8068818,2457.365328,255.8282538,2610.787707,0.845218867,7.890353343
21.5,61.63030846,0.001017988,7.14627039,257.95388,2458.034051,257.9757667,2611.678864,0.851636961,7.8822177
22,62.13347872,0.001018262,6.993759007,260.058938,2458.689126,260.0813398,2612.551824,0.857920137,7.874272889
23,63.11132259,0.001018799,6.708068559,264.150171,2459.960603,264.1736034,2614.24618,0.870104724,7.85892168
24,64.0536874,0.001019323,6.44551719,268.093396,2461.183953,268.1178597,2615.876366,0.881815027,7.844237003
25,64.96328265,0.001019833,6.203377497,271.8999204,2462.362874,271.9254162,2617.447312,0.893088367,7.830163878
26,65.84251187,0.001020332,5.979336315,275.5797744,2463.500646,275.606303,2618.96339,0.903957773,7.816653837
27,66.69351748,0.00102082,5.771418759,279.1418979,2464.600191,279.16946,2620.428498,0.914452614,7.803663934
28,67.5182177,0.001021296,5.577928424,282.5942947,2465.664125,282.622891,2621.846121,0.92459913,7.79115594
29,68.31833706,0.001021763,5.397399846,285.9441603,2466.694797,285.9737914,2623.219393,0.934420859,7.779095679
30,69.09543192,0.001022221,5.228560405,289.197988,2467.694329,289.2286546,2624.551141,0.943939002,7.767452472
31,69.8509119,0.001022669,5.070299535,292.3616588,2468.66464,292.3933615,2625.843926,0.95317272,7.756198678
32,70.58605792,0.001023109,4.921643657,295.4405165,2469.607474,295.4732559,2627.100071,0.962139392,7.745309308
33,71.3020376,0.00102354,4.781735641,298.4394319,2470.524421,298.4732087,2628.321697,0.97085483,7.734761695
34,71.99991839,0.001023964,4.649817856,301.362858,2471.416933,301.3976727,2629.51074,0.979333464,7.724535214
35,72.68067881,0.001024381,4.525218098,304.2148765,2472.28634,304.2507298,2630.668974,0.987588497,7.714611047
36,73.34521817,0.00102479,4.407337857,306.9992387,2473.133866,307.0361311,2631.798029,0.995632043,7.704971978
37,73.99436503,0.001025192,4.295642451,309.7194005,2473.960636,309.7573327,2632.899407,1.003475244,7.695602214
38,74.62888444,0.001025588,4.189652726,312.3785532,2474.767691,312.4175256,2633.974495,1.011128372,7.686487235
39,75.24948443,0.001025978,4.088938004,314.9796498,2475.555992,315.0196629,2635.024574,1.018600917,7.67761366
40,75.85682151,0.001026362,3.993110091,317.5254285,2476.326431,317.566483,2636.050834,1.025901667,7.668969133
41,76.4515057,0.00102674,3.90181815,320.0184335,2477.079835,320.0605298,2637.054379,1.033038773,7.660542216
42,77.0341048,0.001027112,3.8147443,322.4610328,2477.816975,322.5041716,2638.036236,1.040019812,7.652322308
43,77.60514824,0.001027479,3.731599827,324.8554347,2478.538571,324.8996163,2638.997363,1.046851839,7.644299558
44,78.16513057,0.001027841,3.652121901,327.2037015,2479.245291,327.2489265,2639.938655,1.053541434,7.6364648
45,78.71451442,0.001028198,3.576070736,329.5077626,2479.937765,329.5540315,2640.860948,1.060094745,7.628809492
46,79.25373325,0.00102855,3.503227105,331.7694257,2480.616579,331.8167391,2641.765026,1.066517524,7.621325656
47,79.78319379,0.001028898,3.433390184,333.990387,2481.282285,334.0387452,2642.651624,1.07281516,7.614005837
48,80.30327818,0.001029241,3.366375652,336.1722402,2481.9354,336.2216438,2643.521432,1.078992713,7.606843049
49,80.81434601,0.00102958,3.302014022,338.3164847,2482.576412,338.3669342,2644.375099,1.085054935,7.599830744
50,81.316736,0.001029914,3.240149181,340.4245332,2483.205779,340.4760289,2645.213238,1.091006298,7.592962775
52,82.29674265,0.001030572,3.123344626,344.5372968,2484.431285,344.5908866,2646.845206,1.102593061,7.579637055
54,83.24564842,0.001031214,3.01493475,348.5203321,2485.615099,348.5760177,2648.421576,1.113783941,7.566823558
56,84.16555824,0.001031841,2.914037082,352.3824165,2486.760068,352.4401996,2649.946144,1.124606585,7.554484606
58,85.058365,0.001032455,2.819889214,356.1314433,2487.86875,356.1913257,2651.422325,1.135085797,7.542586515
60,85.92577749,0.001033057,2.731829003,359.7745378,2488.943456,359.8365212,2652.853197,1.145243924,7.531099052
62,86.76934376,0.001033646,2.649278571,363.3181554,2489.986277,363.3822415,2654.241548,1.155101167,7.51999498
64,87.59047088,0.001034224,2.571731277,366.7681633,2490.99911,366.8343536,2655.589912,1.164675853,7.509249674
66,88.3904418,0.00103479,2.498741041,370.129911,2491.983689,370.1982072,2656.900598,1.173984658,7.498840801
68,89.17042964,0.001035347,2.429913533,373.4082904,2492.941596,373.478694,2658.175716,1.183042801,7.488748042
70,89.93151007,0.001035893,2.364898859,376.6077867,2493.87428,376.6802992,2659.4172,1.191864214,7.478952856
72,90.6746719,0.00103643,2.303385459,379.7325232,2494.783074,379.8071461,2660.626827,1.20046168,7.469438283
74,91.40082633,0.001036958,2.245094978,382.7862993,2495.669206,382.8630342,2661.806234,1.208846958,7.460188768
76,92.11081495,0.001037478,2.189777952,385.7726243,2496.533809,385.8514726,2662.956934,1.217030891,7.451190007
78,92.80541672,0.001037989,2.137210137,388.6947465,2497.377932,388.7757096,2664.080323,1.225023499,7.442428821
80,93.48535413,0.001038492,2.087189398,391.5556785,2498.202546,391.6387578,2665.177698,1.23283406,7.433893038
82,94.15129859,0.001038987,2.039533037,394.35822,2499.008555,394.4434169,2666.250264,1.240471184,7.425571397
84,94.8038752,0.001039476,1.994075508,397.1049776,2499.796799,397.1922936,2667.299141,1.247942872,7.417453455
86,95.44366694,0.001039957,1.950666444,399.7983825,2500.568061,399.8878187,2668.325375,1.255256579,7.409529512
88,96.07121843,0.001040431,1.909168951,402.4407056,2501.323074,402.5322635,2669.329941,1.262419256,7.401790543
90,96.68703928,0.001040899,1.869458129,405.034072,2502.062521,405.1277529,2670.313752,1.2694374,7.394228135
92,97.29160705,0.00104136,1.83141978,407.5804734,2502.787043,407.6762785,2671.277663,1.27631709,7.386834436
94,97.88536991,0.001041816,1.794949286,410.0817785,2503.497243,410.1797091,2672.222475,1.283064024,7.379602101
96,98.46874904,0.001042265,1.75995062,412.5397438,2504.193684,412.6398013,2673.148944,1.289683548,7.372524256
98,99.04214079,0.001042709,1.726335479,414.9560222,2504.876899,415.0582077,2674.057776,1.296180688,7.365594454
100,99.60591861,0.001043148,1.694022523,417.332171,2505.547389,417.4364858,2674.949641,1.302560174,7.358806641
101.325,99.9743,0.001043435,1.673295383,418.8849917,2505.984811,418.9907178,2675.531466,1.306723978,7.354385114
102,100.1604348,0.001043581,1.662936697,419.6696596,2506.205624,419.7761049,2675.825167,1.30882646,7.352155127
104,100.7060221,0.001044009,1.633008635,421.9698755,2506.852052,422.0784525,2676.68495,1.31498375,7.345634555
106,101.2429951,0.001044432,1.60417413,424.234131,2507.487092,424.3448408,2677.52955,1.321036014,7.339239876
108,101.7716517,0.00104485,1.57637366,426.463668,2508.111145,426.5765118,2678.359501,1.326987004,7.332966328
110,102.2922739,0.001045264,1.54955197,428.6596635,2508.724588,428.7746425,2679.175305,1.332840273,7.326809412
112,102.8051296,0.001045673,1.523657691,430.8232338,2509.327779,430.9403491,2679.97744,1.338599186,7.320764875
114,103.3104728,0.001046077,1.498643008,432.9554388,2509.921057,433.0746916,2680.76636,1.344266934,7.314828691
116,103.8085451,0.001046477,1.474463352,435.0572857,2510.504746,435.1786771,2681.542495,1.349846547,7.308997045
118,104.299576,0.001046873,1.451077133,437.1297327,2511.079153,437.2532638,2682.306255,1.355340903,7.30326632
120,104.7837843,0.001047265,1.428445492,439.1736918,2511.644569,439.2993637,2683.058029,1.360752741,7.297633083
122,105.2613784,0.001047654,1.406532079,441.1900321,2512.201274,441.3178458,2683.798188,1.366084665,7.292094072
124,105.7325569,0.001048038,1.385302856,443.1795821,2512.749533,443.3095388,2684.527087,1.371339157,7.286646187
126,106.1975094,0.001048418,1.364725912,445.1431329,2513.289598,445.2752336,2685.245063,1.376518584,7.281286475
128,106.656417,0.001048795,1.344771302,447.0814396,2513.821712,447.2156854,2685.952438,1.381625202,7.276012127
130,107.1094527,0.001049169,1.325410895,448.9952242,2514.346105,449.1316161,2686.649521,1.386661168,7.270820463
132,107.5567821,0.001049538,1.306618241,450.885177,2514.862998,451.0237161,2687.336605,1.391628541,7.265708928
134,107.9985635,0.001049905,1.288368442,452.7519589,2515.372602,452.8926461,2688.013973,1.39652929,7.260675083
136,108.4349487,0.001050268,1.270638047,454.5962026,2515.87512,454.7390391,2688.681894,1.401365298,7.255716598
138,108.866083,0.001050628,1.25340494,456.4185148,2516.370746,456.5635015,2689.340627,1.406138371,7.250831247
140,109.2921059,0.001050985,1.236648252,458.2194769,2516.859664,458.3666148,2689.990419,1.410850236,7.2460169
142,109.7131511,0.001051339,1.220348272,459.9996471,2517.342054,460.1489372,2690.631509,1.41550255,7.241271517
144,110.129347,0.001051689,1.204486366,461.7595612,2517.818087,461.9110045,2691.264123,1.420096903,7.236593147
146,110.5408171,0.001052037,1.189044906,463.4997338,2518.287926,463.6533313,2691.888482,1.424634819,7.231979918
148,110.9476799,0.001052382,1.174007203,465.2206598,2518.751729,465.3764124,2692.504795,1.429117764,7.227430037
150,111.3500495,0.001052725,1.159357444,466.922815,2519.209649,467.0807237,2693.113266,1.433547146,7.222941783
155,112.3370256,0.001053568,1.124333787,471.0990433,2520.329653,471.2623464,2694.60139,1.444395014,7.211980081
160,113.2982006,0.001054396,1.091428905,475.1674731,2521.415918,475.3361765,2696.044543,1.454936214,7.201369301
165,114.2350399,0.001055208,1.060454118,479.1342198,2522.470392,479.3083291,2697.445322,1.46518876,7.19108759
170,115.1488843,0.001056005,1.031242619,483.0048777,2523.494856,483.1843985,2698.806102,1.475169095,7.181115065
175,116.0409634,0.001056789,1.003646379,486.7845781,2524.490943,486.9695161,2700.129059,1.484892276,7.171433589
180,116.9124081,0.001057559,0.977533572,490.4780401,2525.460152,490.6684007,2701.416195,1.494372119,7.162026572
185,117.7642606,0.001058316,0.952786411,494.089614,2526.403866,494.2854026,2702.669352,1.503621341,7.152878794
190,118.597484,0.001059062,0.929299321,497.6233192,2527.32336,497.824541,2703.890231,1.512651669,7.143976267
195,119.41297,0.001059796,0.906977393,501.0828775,2528.219816,501.2895376,2705.080407,1.521473943,7.135306101
200,120.2115459,0.001060518,0.885735065,504.4717418,2529.094328,504.6838455,2706.241341,1.530098201,7.126856391
205,120.9939807,0.00106123,0.865494996,507.7931225,2529.947915,508.0106747,2707.374389,1.538533763,7.118616126
210,121.7609906,0.001061932,0.846187099,511.050009,2530.781523,511.2730148,2708.480813,1.546789292,7.110575092
215,122.5132436,0.001062624,0.827747707,514.2451907,2531.596034,514.4736549,2709.561791,1.554872858,7.102723807
220,123.2513641,0.001063307,0.810118853,517.3812742,2532.392274,517.6152017,2710.618422,1.562791991,7.095053444
225,123.9759366,0.00106398,0.793247645,520.4606993,2533.171014,520.7000949,2711.651734,1.57055373,7.08755578
230,124.6875087,0.001064645,0.777085716,523.485753,2533.932976,523.7306214,2712.662691,1.57816466,7.080223136
235,125.3865946,0.001065301,0.761588756,526.4585825,2534.67884,526.7089282,2713.652197,1.585630956,7.073048334
240,126.0736778,0.001065949,0.746716089,529.381206,2535.409241,529.6370338,2714.621102,1.592958416,7.066024652
245,126.749213,0.001066589,0.732430306,532.2555235,2536.124779,532.5168379,2715.570204,1.600152487,7.059145789
250,127.4136293,0.001067222,0.718696948,535.0833258,2536.826019,535.3501312,2716.500256,1.607218297,7.052405828
255,128.067331,0.001067847,0.705484214,537.8663025,2537.513493,538.1386035,2717.411967,1.61416068,7.045799206
260,128.7107006,0.001068465,0.692762712,540.6060503,2538.187704,540.8838511,2718.306009,1.620984194,7.039320687
265,129.3440994,0.001069076,0.680505233,543.304079,2538.849127,543.5873841,2719.183014,1.627693148,7.032965337
270,129.9678698,0.00106968,0.668686555,545.9618183,2539.498212,546.250632,2720.043582,1.634291614,7.026728501
275,130.5823362,0.001070278,0.657283257,548.5806234,2540.135385,548.8749498,2720.888281,1.640783447,7.020605783
280,131.1878063,0.00107087,0.646273567,551.1617798,2540.761051,551.4616233,2721.717649,1.6471723,7.014593025
285,131.7845724,0.001071455,0.635637218,553.7065087,2541.375591,554.0118734,2722.532198,1.653461641,7.008686294
290,132.3729123,0.001072035,0.625355316,556.2159705,2541.979372,556.5268605,2723.332414,1.659654757,7.00288186
295,132.9530902,0.001072608,0.61541023,558.6912696,2542.572738,559.007689,2724.118756,1.665754777,6.99717619
300,133.5253579,0.001073176,0.605785485,561.1334573,2543.156021,561.4554103,2724.891667,1.671764673,6.991565929
305,134.0899552,0.001073739,0.596465669,563.5435359,2543.729533,563.8710263,2725.651562,1.677687277,6.986047889
310,134.6471108,0.001074297,0.587436349,565.9224611,2544.293575,566.255493,2726.398843,1.683525286,6.980619039
315,135.197043,0.001074849,0.578683993,568.2711453,2544.848431,568.6097226,2727.133889,1.689281272,6.975276495
320,135.7399604,0.001075396,0.570195902,570.59046,2545.394375,570.9345867,2727.857064,1.694957688,6.970017512
325,136.2760624,0.001075938,0.561960146,572.8812384,2545.931668,573.2309183,2728.568715,1.700556878,6.96483947
330,136.8055395,0.001076476,0.553965506,575.1442775,2546.460557,575.4995145,2729.269174,1.706081082,6.959739874
335,137.3285745,0.001077009,0.546201423,577.3803404,2546.981281,577.7411383,2729.958758,1.711532441,6.954716339
340,137.8453422,0.001077537,0.538657949,579.590158,2547.49407,579.9565205,2730.637772,1.716913004,6.94976659
345,138.3560102,0.001078061,0.531325702,581.7744309,2547.99914,582.1463619,2731.306507,1.722224734,6.944888449
350,138.8607392,0.00107858,0.524195828,583.9338311,2548.496702,584.3113342,2731.965242,1.727469511,6.940079836
360,139.8529913,0.001079607,0.51051021,588.1805676,2549.470098,588.5692261,2733.253774,1.737765346,6.930663309
370,140.8232612,0.001080617,0.497539495,592.3352281,2550.415771,592.7350566,2734.505384,1.747814077,6.921502053
380,141.7726234,0.001081612,0.485228467,596.4023048,2551.335117,596.8133175,2735.721935,1.757628219,6.912582322
390,142.7020728,0.001082593,0.473527482,600.3859584,2552.229431,600.8081696,2736.905149,1.767219345,6.903891446
400,143.612533,0.001083559,0.462391783,604.2900506,2553.09991,604.7234742,2738.056623,1.776598174,6.895417726
410,144.5048626,0.001084512,0.451780911,608.1181722,2553.947667,608.562822,2739.177841,1.785774657,6.887150337
420,145.3798613,0.001085451,0.441658199,611.8736687,2554.77374,612.3295582,2740.270183,1.794758049,6.879079242
430,146.2382757,0.001086378,0.431990334,615.5596617,2555.579093,616.0268045,2741.334937,1.803556971,6.871195117
